category,subject,topic,description,keywords
인문학,국어/언어와 매체/정보,"AI 시대의 언어 변화와 인간 언어의 특징 분석","인공지능 번역기와 생성형 AI가 사용하는 언어 표현을 분석하고 인간의 언어 사용 방식과 비교한다. 형태소 분석, 자연어 처리 원리와 언어학적 관점을 연결하여 AI 언어 처리의 특징과 한계를 탐구한다.","인공지능;자연어처리;언어학;형태소분석"
인문학,독서/고전 읽기/윤리,"고전 문학 속 인간관과 현대 사회 문제의 비교 분석","고전 작품에 나타난 인간관, 사회적 가치, 윤리적 문제를 분석하고 현대 사회의 사례와 비교한다. 시대별 가치관 변화가 문학 표현과 주제 형성에 미친 영향을 탐구한다.","고전문학;윤리;사회변화;인간관"
인문학,국어/언어와 매체/정보,"온라인 공간의 신조어 생성 원리와 언어 변화 연구","인터넷 커뮤니티와 SNS에서 등장하는 신조어를 수집하고 생성 방식과 의미 변화를 분석한다. 언어의 사회적 기능과 디지털 환경이 언어 변화에 미치는 영향을 탐구한다.","신조어;언어변화;디지털문화;사회언어학"
인문학,영어/정보/수학,"영어 텍스트의 감정 분석과 인공지능 기반 언어 분석","영어 뉴스나 소셜미디어 데이터를 수집하여 긍정·부정 감정 표현을 분석한다. 텍스트 마이닝과 감정 분석 알고리즘을 활용하여 언어 데이터 분석 방법을 탐구한다.","영어텍스트;감정분석;텍스트마이닝;데이터분석"
인문학,국어/문학/사회문화,"문학 작품 속 사회적 약자 표현 변화 분석","시대별 문학 작품에서 사회적 약자가 어떻게 표현되어 왔는지 분석한다. 작품 속 인물 묘사와 사회 구조 변화의 관계를 문학적 관점에서 탐구한다.","문학분석;사회문화;인물표현;시대변화"
인문학,영어/세계사/문화,"영어권 국가의 역사적 사건이 언어 표현에 미친 영향","영어권 국가의 주요 역사 사건과 관련된 표현과 관용어를 조사한다. 역사적 배경이 언어 형성과 문화적 의미에 어떤 영향을 주었는지 분석한다.","영어문화;세계사;관용표현;역사언어학"
인문학,국어/언어와 매체/정보,"가짜 뉴스의 언어적 특징과 판별 방법 연구","온라인 뉴스 데이터를 분석하여 가짜 뉴스에서 나타나는 표현 방식과 설득 전략을 조사한다. 정보 검증 과정과 언어 분석 방법을 연결하여 미디어 문해력을 탐구한다.","가짜뉴스;미디어문해력;언어분석;정보검증"
인문학,고전 읽기/철학/윤리,"동서양 고전에서 나타난 행복 개념 비교 연구","동양과 서양 철학 고전에서 제시하는 행복의 의미를 비교한다. 철학적 개념을 현대 사회의 삶의 방식과 연결하여 분석한다.","철학;고전;행복론;윤리"
인문학,국어/문학/심리학,"문학 작품 속 인물의 심리 변화와 서사 구조 분석","소설 속 주요 인물의 심리 변화를 분석하고 사건 전개와의 관계를 탐구한다. 심리학의 인간 행동 이론과 문학적 표현 방식을 연결한다.","문학;심리학;서사구조;인물분석"
인문학,영어/독서/정보,"온라인 영어 학습 자료의 효과 분석","영어 학습 플랫폼과 영상 자료를 비교하여 학습 효과를 분석한다. 학습 데이터 수집과 통계 분석을 통해 효과적인 영어 학습 방식의 특징을 탐구한다.","영어교육;학습데이터;통계분석;온라인학습"
인문학,국어/사회문화/통합사회,"지역 방언의 특징과 사회적 인식 변화 연구","지역별 방언 자료를 조사하고 발음과 어휘 특징을 비교한다. 방언에 대한 사회적 인식과 지역 문화의 관계를 탐구한다.","방언;지역문화;사회언어학;언어다양성"
인문학,영어/문학/세계사,"영미 문학 작품 속 시대적 가치관 분석","대표적인 영미 문학 작품을 선정하여 작품 속 시대 상황과 가치관을 분석한다. 역사적 배경과 문학 표현의 연관성을 탐구한다.","영미문학;역사배경;가치관;문학비평"
인문학,국어/언어와 매체/정보,"생성형 AI가 만든 글과 인간 글의 표현 특징 비교","AI 생성 글과 인간 작성 글을 비교하여 문장 구조, 어휘 사용, 표현 방식의 차이를 분석한다. 자연어 생성 기술의 원리와 인간 언어 표현의 특징을 탐구한다.","생성형AI;글쓰기;자연어생성;표현분석"
인문학,일본어/문화/세계사,"일본어 표현 속 문화적 가치관 분석","일본어의 존댓말, 관용 표현, 문화 관련 어휘를 분석한다. 언어 표현 속에 반영된 일본 사회의 문화적 특징을 탐구한다.","일본어;언어문화;존댓말;문화연구"
인문학,국어/독서/경제,"광고 언어의 설득 전략과 소비자 심리 분석","광고 문구를 분석하여 사용되는 표현 전략과 설득 방식을 탐구한다. 경제적 소비 행동과 언어 표현의 관계를 분석한다.","광고언어;소비심리;설득전략;마케팅"
인문학,영어/정보/수학,"영어 단어 빈도 분석을 통한 언어 사용 패턴 연구","영어 텍스트 자료를 수집하여 단어 출현 빈도와 특징을 분석한다. 빈도 분석, 통계적 언어 분석 방법을 활용하여 언어 사용 패턴을 탐구한다.","영어데이터;빈도분석;통계;언어패턴"
인문학,국어/문학/미술,"문학 작품과 삽화의 표현 방식 비교 연구","문학 작품의 내용과 이를 시각화한 삽화를 비교 분석한다. 언어 표현과 시각 표현이 독자에게 전달하는 의미 차이를 탐구한다.","문학;삽화;표현방식;융합예술"
인문학,고전 읽기/한국사/윤리,"한국 고전 속 정치 사상과 현대 민주주의 비교","한국 고전 문헌에 나타난 정치적 이상과 사회 질서를 분석한다. 현대 민주주의 가치와 비교하여 시대별 정치 사상의 변화를 탐구한다.","한국고전;정치사상;민주주의;역사"
인문학,국어/언어와 매체/사회문화,"SNS 댓글 문화와 온라인 의사소통 방식 분석","SNS 댓글 데이터를 분석하여 온라인 의사소통의 특징과 문제점을 탐구한다. 언어 사용 방식과 사회적 관계 형성의 연관성을 분석한다.","SNS;온라인소통;댓글문화;사회언어학"
인문학,영어/독서/철학,"영어 철학 에세이 분석을 통한 논증 구조 연구","영어 철학 글을 분석하여 주장, 근거, 반박 구조를 파악한다. 논리적 글쓰기 방식과 비판적 사고 과정을 탐구한다.","영어독해;논증;비판적사고;철학"
인문학,국어/정보/인공지능,"한국어 자연어 처리 기술과 언어 특성 연구","한국어 형태적 특징이 인공지능 언어 처리 과정에서 어떤 어려움을 만드는지 분석한다. 형태소 분석과 언어 모델의 원리를 연결하여 탐구한다.","한국어처리;AI;형태소;언어모델"
인문학,문학/음악/예술,"문학 작품의 감정 표현과 음악적 표현 비교","문학 작품의 감정 표현 방식과 음악 작품의 분위기 표현을 비교한다. 예술 분야에서 감정을 전달하는 다양한 방법을 분석한다.","문학;음악;감정표현;예술융합"
인문학,영어/사회문화/미디어,"영어권 미디어에서 나타나는 문화 프레임 분석","영어 뉴스와 미디어 자료를 분석하여 특정 사건을 바라보는 관점과 표현 방식을 탐구한다. 언어가 사회적 인식 형성에 미치는 영향을 분석한다.","영어미디어;문화프레임;뉴스분석;사회인식"
인문학,국어/법과 정치/언어와 매체,"법률 문서의 언어 구조와 명확성 분석","법률 문서에서 사용되는 전문 용어와 문장 구조를 분석한다. 정확한 의사 전달을 위한 언어 표현 방식과 사회적 역할을 탐구한다.","법률언어;문장구조;의사소통;전문용어"
인문학,영어/정보/인공지능,"AI 번역과 인간 번역의 차이 분석","영어 문장을 대상으로 AI 번역 결과와 인간 번역 결과를 비교한다. 기계 번역 알고리즘과 번역 과정에서 발생하는 의미 해석 문제를 탐구한다.","기계번역;AI;번역학;자연어처리"
인문학,국어/문학/역사,"역사적 사건을 다룬 문학 작품의 사실성과 해석 비교","역사적 사건을 배경으로 한 문학 작품을 선정하여 실제 역사와 비교한다. 문학적 재구성과 역사 해석의 차이를 분석한다.","역사소설;문학해석;한국사;사실성"
인문학,제2외국어/문화/사회문화,"외국어 표현 속 문화 차이와 의사소통 문제 연구","다른 언어권의 표현 방식을 비교하고 문화적 차이가 의사소통에 미치는 영향을 분석한다. 언어와 문화의 상호작용을 탐구한다.","외국어;문화차이;의사소통;다문화"
인문학,국어/독서/정보,"독서 데이터 분석을 통한 독서 경향 연구","독서 기록이나 공개 데이터를 활용하여 시대별 독서 경향을 분석한다. 데이터 시각화와 통계 분석을 활용하여 독서 문화 변화를 탐구한다.","독서데이터;통계;문화분석;데이터시각화"
인문학,영어/문학/심리학,"영어 소설 속 인물 관계와 심리 분석","영어 소설의 등장인물 관계와 심리 변화를 분석한다. 심리학 개념과 문학적 서술 방식을 연결하여 작품 이해를 심화한다.","영어소설;심리분석;인물관계;문학"
인문학,국어/언어와 매체/정보,"음성 인식 기술과 한국어 발음 특징 연구","음성 인식 AI가 한국어 발음을 처리하는 과정을 조사한다. 음성 데이터 분석과 한국어 음운 특징을 연결하여 기술적 한계를 탐구한다.","음성인식;AI;한국어음운;음성데이터"
인문학,고전 읽기/독서/사회문화,"고전 속 인간 관계와 현대 사회 관계 변화 비교","고전 문헌 속 인간 관계의 특징을 분석하고 현대 사회의 관계 형성과 비교한다. 사회 변화가 인간 관계와 가치관에 미친 영향을 탐구한다.","고전읽기;인간관계;사회변화;가치관"

category,subject,topic,description,keywords
사회과학,통합사회/경제/정보,"인공지능 자동화가 노동시장 구조에 미치는 영향 분석","인공지능과 자동화 기술 발전이 직업 변화와 고용 구조에 미치는 영향을 산업별 데이터로 분석한다. 경제의 노동 수요와 공급 개념 및 데이터 분석 방법을 활용하여 미래 노동 시장 변화를 탐구한다.","인공지능;노동시장;경제분석;자동화"
사회과학,경제/수학/정보,"소비자 구매 패턴 분석을 통한 합리적 소비 행동 연구","온라인 쇼핑 데이터를 활용하여 소비자의 구매 요인과 선택 패턴을 분석한다. 평균, 상관관계 등 통계 개념을 적용하여 가격과 소비 행동 사이의 관계를 탐구한다.","소비행동;통계;경제;데이터분석"
사회과학,사회문화/정보/수학,"SNS 이용 시간이 사회적 관계 형성에 미치는 영향 분석","SNS 사용 시간과 사회적 관계 만족도에 관한 설문 데이터를 수집하고 분석한다. 통계적 방법을 활용하여 디지털 환경이 인간관계 변화에 미치는 영향을 탐구한다.","SNS;사회관계;설문조사;통계"
사회과학,정치와 법/정보/윤리,"가짜뉴스 확산 구조와 민주주의 의사결정 영향 연구","온라인 가짜뉴스 사례를 분석하고 정보 확산 과정과 사회적 영향을 탐구한다. 네트워크 구조와 정보 검증 방법을 활용하여 민주사회에서 정보의 역할을 분석한다.","가짜뉴스;민주주의;정보사회;네트워크"
사회과학,경제/지리/수학,"지역별 경제 격차와 인구 이동의 상관관계 분석","지역별 소득, 인구 변화, 산업 구조 데이터를 비교하여 경제 격차 원인을 분석한다. 통계 분석을 통해 지역 발전 정책의 방향을 탐구한다.","지역격차;인구이동;경제;통계"
사회과학,사회문화/생명과학/통합사회,"저출산 현상의 사회적 원인과 해결 정책 분석","저출산 현상을 경제적 요인, 가족 가치관 변화, 사회 구조 측면에서 분석한다. 생명과학의 인구 구조 개념과 사회 정책을 연결하여 해결 방안을 탐구한다.","저출산;인구문제;사회정책;인구구조"
사회과학,경제/수학/정보,"물가 변화와 소비자 물가지수 분석","최근 물가 데이터를 활용하여 상품 가격 변화와 소비자 물가지수의 관계를 분석한다. 경제 지표 계산 방식과 통계적 해석 방법을 탐구한다.","물가;경제지표;소비자물가지수;통계"
사회과학,정치와 법/세계사/윤리,"민주주의 발전 과정과 현대 정치 제도의 비교 연구","세계 여러 국가의 민주주의 발전 과정을 역사적으로 분석한다. 정치 제도의 특징과 시민 참여 방식의 차이를 비교하여 현대 민주주의의 의미를 탐구한다.","민주주의;정치제도;세계사;시민참여"
사회과학,지리/환경/통합사회,"기후 변화가 지역 사회와 경제에 미치는 영향 분석","기후 변화가 농업, 산업, 생활 환경에 미치는 영향을 지역별 사례로 분석한다. 환경 데이터와 지리 정보를 활용하여 기후 대응 정책을 탐구한다.","기후변화;환경;지리정보;지역사회"
사회과학,경제/통합사회/수학,"소득 불평등과 사회 이동성 분석","소득 분배 자료를 활용하여 경제적 불평등 정도를 분석한다. 지니계수 등 경제 지표를 활용하여 사회 이동성과 복지 정책의 관계를 탐구한다.","소득불평등;지니계수;복지;경제"
사회과학,사회문화/국어/정보,"온라인 커뮤니티 언어 사용과 집단 문화 형성 연구","온라인 커뮤니티의 게시글과 댓글을 분석하여 집단 정체성과 언어 사용 특징을 연구한다. 사회문화 이론과 텍스트 분석 방법을 활용한다.","온라인문화;언어분석;집단문화;텍스트분석"
사회과학,경제/지리/세계사,"세계 경제 변화와 국제 분업 구조 분석","세계화 과정에서 국가별 산업 구조 변화와 국제 무역 관계를 분석한다. 세계 경제 데이터를 활용하여 국가 간 경제 의존성을 탐구한다.","세계화;국제무역;경제구조;산업분석"
사회과학,정치와 법/정보/수학,"선거 결과 데이터 분석을 통한 정치 참여 연구","선거 결과와 투표율 데이터를 분석하여 정치 참여 요인을 탐구한다. 통계적 분석을 통해 지역별 정치 참여 차이를 연구한다.","선거;정치참여;데이터분석;통계"
사회과학,사회문화/심리학/정보,"사회적 편견 형성과 미디어 영향 분석","미디어 콘텐츠가 사회적 인식 형성에 미치는 영향을 분석한다. 심리학의 인지 과정과 사회문화 개념을 연결하여 편견 형성 과정을 탐구한다.","편견;미디어;사회심리;문화"
사회과학,경제/정보/수학,"암호화폐 시장 변동성과 경제 심리 분석","암호화폐 가격 데이터를 분석하여 시장 변동성과 투자 심리의 관계를 탐구한다. 경제 원리와 데이터 분석 기법을 활용하여 금융 시장 특징을 연구한다.","암호화폐;금융;시장분석;데이터"
사회과학,지리/정보/수학,"GIS를 활용한 도시 공간 구조 분석","도시 인구와 시설 위치 데이터를 활용하여 도시 공간 구조를 분석한다. 지리정보시스템과 공간 분석 방법을 통해 도시 문제 해결 방안을 탐구한다.","GIS;도시계획;공간분석;지리"
사회과학,정치와 법/윤리/정보,"개인정보 보호와 디지털 사회의 법적 쟁점 연구","디지털 환경에서 개인정보 활용과 보호 문제를 법적 관점에서 분석한다. 정보 기술 발전과 기본권 보호 사이의 균형을 탐구한다.","개인정보;디지털법;정보사회;기본권"
사회과학,경제/환경/통합사회,"탄소중립 정책과 경제 성장의 관계 분석","탄소중립 정책이 산업과 경제 성장에 미치는 영향을 분석한다. 환경 정책과 경제 효율성 사이의 관계를 탐구한다.","탄소중립;환경경제;지속가능성;정책"
사회과학,사회문화/통합사회/생명과학,"고령화 사회의 변화와 사회 시스템 대응 연구","고령화로 인한 의료, 복지, 노동 문제를 분석한다. 인구 구조 변화와 사회 제도의 대응 방안을 탐구한다.","고령화;복지;인구구조;사회변화"
사회과학,경제/수학/정보,"주식 시장 데이터 분석과 경제 지표의 관계 연구","주가 변화와 경제 지표 사이의 관계를 분석한다. 상관관계와 데이터 시각화를 활용하여 금융 시장 변동 요인을 탐구한다.","주식;경제지표;상관분석;금융"
사회과학,지리/세계사/경제,"국제 이주와 지역 변화 분석","국제 이주 현상이 지역 경제와 문화 변화에 미치는 영향을 분석한다. 세계화와 인구 이동 데이터를 활용하여 사회 변화를 탐구한다.","국제이주;세계화;인구이동;지역변화"
사회과학,정치와 법/역사/윤리,"인권 개념의 발전과 현대 사회 적용 분석","역사적으로 인권 개념이 발전한 과정을 분석하고 현대 사회 문제와 연결한다. 법적 권리와 윤리적 가치의 관계를 탐구한다.","인권;법;역사;윤리"
사회과학,경제/사회문화/정보,"플랫폼 경제가 사회 구조에 미치는 영향 연구","배달 플랫폼과 온라인 서비스 산업의 성장 과정을 분석한다. 플랫폼 경제의 장점과 노동 문제를 경제 및 사회문화 관점에서 탐구한다.","플랫폼경제;노동;디지털경제;사회변화"
사회과학,통합사회/지리/환경,"도시 열섬 현상과 도시 환경 정책 분석","도시별 기온 데이터를 활용하여 열섬 현상의 원인을 분석한다. 도시 구조와 환경 정책의 관계를 탐구한다.","도시열섬;환경정책;기후;도시"
사회과학,경제/사회문화/심리학,"행동경제학으로 분석하는 비합리적 소비 행동","소비자가 항상 합리적으로 행동하지 않는 이유를 심리학과 경제학 관점에서 분석한다. 실제 소비 사례를 통해 행동경제학 원리를 탐구한다.","행동경제학;소비심리;경제;의사결정"
사회과학,정치와 법/사회문화/정보,"디지털 시민성과 온라인 정치 참여 연구","온라인 공간에서 나타나는 정치 참여 형태를 분석한다. 디지털 시민성 개념과 민주주의 변화 과정을 탐구한다.","디지털시민;정치참여;민주주의;온라인"
사회과학,지리/경제/정보,"스마트시티 기술과 도시 문제 해결 방안 연구","스마트시티에서 활용되는 데이터 기술과 도시 문제 해결 사례를 분석한다. 정보 기술과 도시 계획의 융합 가능성을 탐구한다.","스마트시티;IoT;도시문제;데이터"
사회과학,사회문화/통합사회/통계,"세대 간 가치관 차이와 사회 변화 분석","세대별 가치관 차이를 설문조사와 통계 분석으로 연구한다. 사회 변화가 가치관 형성에 미치는 영향을 탐구한다.","세대갈등;가치관;설문조사;사회변화"
사회과학,경제/세계사/지리,"경제 위기의 역사와 현대 경제 정책 비교","과거 경제 위기의 원인과 대응 정책을 분석한다. 역사적 사례와 현대 경제 정책을 비교하여 경제 위기 대응 방안을 탐구한다.","경제위기;세계사;경제정책;금융"
사회과학,정치와 법/경제/통합사회,"복지 국가 모델 비교와 한국 복지 정책 방향 연구","여러 국가의 복지 제도를 비교하고 경제적 지속 가능성을 분석한다. 복지 확대와 재정 부담 사이의 관계를 탐구한다.","복지국가;사회보장;경제;정책"
사회과학,사회문화/정보/인공지능,"생성형 AI 확산이 사회 구조와 직업 변화에 미치는 영향","생성형 AI 활용 사례를 조사하고 직업 변화와 사회적 영향을 분석한다. 기술 발전과 사회 변화의 관계를 사회문화 관점에서 탐구한다.","생성형AI;사회변화;직업;기술사회"

category,subject,topic,description,keywords
자연과학,물리학/미적분/정보,"경사하강법의 수학적 원리와 물리적 최적화 과정 분석","머신러닝의 학습 과정에서 사용되는 경사하강법을 미적분의 미분 개념과 연결하여 분석한다. 함수의 기울기와 최솟값 탐색 과정을 물리학의 에너지 최소화 원리와 비교하여 탐구한다.","경사하강법;미적분;최적화;인공지능"
자연과학,물리학/수학/정보,"인공지능 신경망의 학습 원리와 물리적 모델 비교 연구","인공신경망의 구조와 학습 과정을 뉴런의 전기적 신호 전달과 비교한다. 물리학의 전기 신호 개념과 수학적 가중치 조정 원리를 활용하여 AI 학습 과정을 탐구한다.","인공신경망;전기신호;머신러닝;수학모델"
자연과학,물리학/정보/수학,"컴퓨터 비전에서 사용되는 이미지 처리와 물리학적 원리 탐구","디지털 이미지가 픽셀 데이터로 변환되는 과정을 분석하고 이미지 처리 알고리즘의 원리를 탐구한다. 빛의 성질과 행렬 연산 개념을 활용하여 이미지 인식 기술을 분석한다.","컴퓨터비전;픽셀;행렬;빛"
자연과학,물리학/미적분,"스털링 기관의 열효율과 열역학 원리 분석","스털링 기관의 작동 원리를 실험하고 온도 차이에 따른 회전 속도 변화를 측정한다. 열역학 법칙과 에너지 변환 과정 및 효율 계산을 통해 열기관의 특징을 탐구한다.","스털링기관;열역학;에너지변환;효율"
자연과학,물리학/수학/정보,"카오스 이론과 기상 예측의 한계 분석","나비효과로 알려진 카오스 현상을 수학적 모델과 함께 분석한다. 초기 조건의 작은 차이가 복잡한 시스템 변화에 미치는 영향을 기상 예측 사례와 연결하여 탐구한다.","카오스이론;기상예측;수학모델;비선형성"
자연과학,화학/생명과학/정보,"단백질 구조 예측 인공지능의 원리 분석","AI 기반 단백질 구조 예측 기술의 원리를 생명과학의 단백질 구조 개념과 연결하여 분석한다. 생물학 데이터와 머신러닝 모델이 어떻게 활용되는지 탐구한다.","단백질구조;AI;생명정보학;머신러닝"
자연과학,생명과학/화학/정보,"유전자 데이터 분석과 생명정보학 기술 탐구","DNA 염기서열 데이터를 분석하는 생명정보학 기술의 원리를 탐구한다. 유전 정보 처리 과정과 데이터 분석 알고리즘의 관계를 연구한다.","DNA;생명정보학;유전체;데이터분석"
자연과학,화학/물리학/환경,"배터리의 전기화학적 원리와 차세대 에너지 저장 기술 분석","리튬이온 배터리의 산화환원 반응과 전기 에너지 저장 원리를 분석한다. 화학 반응과 물리학적 전지 원리를 연결하여 차세대 배터리 기술을 탐구한다.","배터리;전기화학;에너지저장;산화환원"
